2.00 0.00 76 2021-03-26-12:13:58
                        END
06:74:9c:23:fb:34 -86 w | -86
06:69:6c:eb:05:1d -83 w | -83
1a:69:6c:eb:05:7d -85 w | -85-85
1a:69:6c:be:95:72 -78 w | -78-78
06:69:6c:bc:f8:f9 -66 w | -66-66
0a:69:6c:bc:f8:f9 -65 w | -65-65
06:69:6c:eb:0b:2f -75 w | -75-75
1a:74:9c:23:fd:b0 -34 w | -34-34-32
06:74:9c:25:01:7f -82 w | -82
1a:74:9c:23:fd:b1 -39 w | -39
06:69:6c:be:95:72 -79 w | -79
0a:69:6c:eb:0b:2f -75 w | -75
0a:69:6c:be:95:72 -79 w | -79
3.00  2.00 63 2021-03-27-17:58:04
d1:45:b5:b8:74:ba -75 b | -75-78-78-78-78-80-79-79-79-74-68
12:3b:6a:1a:93:a7 -91 b | -91-92-93-92-92-93-94
c7:b3:82:c6:c6:05 -80 b | -80-81-79-78-77-77-78-78-78-76-76-76-77
12:3b:6a:1a:92:c0 -93 b | -93-93-94-93-95
c0:16:7b:b9:9d:2e -77 b | -77-77-74-73-73-73-73-73-73-74-74-80
1a:69:6c:bc:f9:76 -75 w | -75-75-75
06:69:6c:eb:03:6d -60 w | -60-60-60
0a:74:9c:23:fd:ec -70 w | -70-70-70
06:69:6c:ea:fa:19 -85 w | -85-85-85
0a:69:6c:eb:03:6d -60 w | -60-60-60
0a:69:6c:ea:fe:64 -83 w | -83-83-83
06:69:6c:ea:fe:63 -63 w | -63-63-63
1a:69:6c:eb:0b:2f -77 w | -77-77-77
06:69:6c:eb:05:1e -78 w | -78-78-78
0a:74:9c:25:01:7f -80 w | -80-80-80
0a:74:9c:23:fb:34 -86 w | -86-86-86
06:74:9c:23:fb:34 -86 w | -86-86-86
06:69:6c:eb:05:1d -83 w | -83-83-83
1a:74:9c:23:fd:b0 -32 w | -32-32-32
06:74:9c:25:01:7f -82 w | -82-82-82
1a:74:9c:23:fd:b1 -39 w | -39-39-39
06:69:6c:be:95:72 -79 w | -79-79-79
0a:69:6c:eb:0b:2f -75 w | -75-75-75
0a:69:6c:be:95:72 -79 w | -79-79-79
1a:69:6c:eb:03:6d -60 w | -60-60-60
06:69:6c:c3:d9:24 -72 w | -72-72-72
d8:24:bd:76:98:3f -64 w | -64-64-64
10:bd:18:08:3e:18 -71 w | -71-71-71
bc:f6:85:49:58:80 -75 w | -75-75-75
0a:69:6c:c3:d9:24 -74 w | -74-74-74
4.00  2.00 63 2021-03-27-17:58:15
d1:45:b5:b8:74:ba -82 b | -82-85-82-84-83-74-74-73-73
12:3b:6a:1a:93:a7 -88 b | -88-88-89-88-88-88-87-88
c7:b3:82:c6:c6:05 -75 b | -75-75-76-77-77-76-76-76-89-88
12:3b:6a:1a:92:c0 -98 b | -98-95-94-94-94-93-95
c0:16:7b:b9:9d:2e -74 b | -74-74-74-74-74-74-75-71-71
1a:69:6c:bc:f9:76 -75 w | -75-75-75-75
06:69:6c:eb:03:6d -60 w | -60-60-60-60
0a:74:9c:23:fd:ec -70 w | -70-70-70-70
06:69:6c:ea:fa:19 -85 w | -85-85-85-85
0a:69:6c:eb:03:6d -60 w | -60-60-60-60
0a:69:6c:ea:fe:64 -83 w | -83-83-83-83
06:69:6c:ea:fe:63 -63 w | -63-63-63-63
1a:69:6c:eb:0b:2f -77 w | -77-77-77-77
06:69:6c:eb:05:1e -78 w | -78-78-78-78
0a:74:9c:25:01:7f -80 w | -80-80-80-80
0a:74:9c:23:fb:34 -86 w | -86-86-86-86
06:74:9c:23:fb:34 -86 w | -86-86-86-86
06:69:6c:eb:05:1d -83 w | -83-83-83-83
1a:74:9c:23:fd:b0 -32 w | -32-32-32-32
06:74:9c:25:01:7f -82 w | -82-82-82-82
1a:74:9c:23:fd:b1 -39 w | -39-39-39-39
06:69:6c:be:95:72 -79 w | -79-79-79-79
0a:69:6c:eb:0b:2f -75 w | -75-75-75-75
0a:69:6c:be:95:72 -79 w | -79-79-79-79
1a:69:6c:eb:03:6d -60 w | -60-60-60-60
06:69:6c:c3:d9:24 -72 w | -72-72-72-72
d8:24:bd:76:98:3f -64 w | -64-64-64-64
10:bd:18:08:3e:18 -71 w | -71-71-71-71
bc:f6:85:49:58:80 -75 w | -75-75-75-75
0a:69:6c:c3:d9:24 -74 w | -74-74-74-74
4.00  3.00 63 2021-03-27-17:58:30
d1:45:b5:b8:74:ba -78 b | -78-81-80-80-78-78-78
12:3b:6a:1a:93:a7 -91 b | -91-90-91-91-93-92-93-92
c7:b3:82:c6:c6:05 -90 b | -90-91-90-88-86-87-88-88-88-87-90
12:3b:6a:1a:92:c0 -88 b | -88-89-90-91-90-92
c0:16:7b:b9:9d:2e -79 b | -79-78-78-80-78-80-82-82-83
1a:69:6c:bc:f9:76 -75 w | -75-75-75
06:69:6c:eb:03:6d -60 w | -60-60-60
0a:74:9c:23:fd:ec -70 w | -70-70-70
06:69:6c:ea:fa:19 -85 w | -85-85-85
0a:69:6c:eb:03:6d -60 w | -60-60-60
0a:69:6c:ea:fe:64 -83 w | -83-83-83
06:69:6c:ea:fe:63 -63 w | -63-63-63
